Keys,"Українська [ua-UA]"
GUI_GIFT_INFUSION,"Початок наступного сценарію підвищить стихію {0}"
GUI_GIFT_INVISIBLE,"Вам було даровано невидимість"
GUI_GIFT_INVISIBLE_COMBINED,"Один персонаж отримує НЕВИДИМІСТЬ"
GUI_GIFT_ITEM,"Ви отримали предмет"
GUI_GIFT_ITEM_DESIGN,"Ви отримали креслення предмета"
GUI_GIFT_LOST_GOLD,"Ви втратили {0} Золота"
GUI_GIFT_MUDDLE,"Ви отримали ефект Дезорієнтація"
GUI_GIFT_MUDDLE_COMBINED,"Один персонаж отримує СМ'ЯТІННЯ"
GUI_GIFT_NEGATIVE_CONDITION,"Ви страждаєте від незрозумілого стану"
GUI_GIFT_NONE,"У мене для тебе нічого немає"
GUI_GIFT_PERK,"Ви отримали навичку"
GUI_GIFT_POISON,"Вас отруїли."
GUI_GIFT_POISON_COMBINED,"Один персонаж отримує отруєння"
GUI_GIFT_POSITIVE_CONDITION,"Ви отримали позитивний ефект"
GUI_GIFT_ROUNDS_DURATION,"на перший раунд наступного сценарію"
GUI_GIFT_SEVERAL_ROUNDS_DURATION,"на {0} раундів"
GUI_GIFT_STRENGTHEN,"Ви були Посилені"
GUI_GIFT_STRENGTHEN_COMBINED,"Один персонаж отримує ПОСИЛЕННЯ"
GUI_GIFT_STUN,"Вас оглушено"
GUI_GIFT_STUN_COMBINED,"Один персонаж отримує ОГЛУШЕННЯ"
GUI_GIFT_WIN_GOLD,"Ви отримали {0} Золота"
GUI_GIFT_WOUND,"Ви були поранені"
GUI_GIFT_WOUND_COMBINED,"Один персонаж отримує РАНУ"
GUI_GIFT_XP,"Ви отримали {0} XP"
GUI_GUILD,"Гільдія"
GUI_GUILDMASTER_DIFFICULTY_TITLE,"Складність"
GUI_GUILDMASTER_REPEATED_NAME,"<color=#C53F3F>Назва гільдії</color> уже використовується. Будь ласка, виберіть іншу."
GUI_GUILDMASTER_RULESET,"Набір правил Хранителя Гільдії"
GUI_GUILDMASTER_START_GAME,"Почати гру"
GUI_GUILDMASTER_TUTORIAL_FULL,"Повне навчання"
GUI_GUILDMASTER_TUTORIAL_INTRODUCTION_DESCR,"<color=#C2AF89FF>Вступ:</color> Зануртеся в початкову історію та головоломки"
GUI_GUILDMASTER_TUTORIAL_SKIP_FTUE,"Початок історії"
GUI_GUILDMASTER_TUTORIAL_SKIP_FTUE_INTRO,"Швидкий старт"
GUI_GUILDMASTER_TUTORIAL_SKIP_FTUE_INTRO_DESCR,"Пропустити навчання та введення"
GUI_GUILDMASTER_TUTORIAL_TUTORIAL_DESCR,"<color=#C2AF89FF>Посібник:</color> Основні механіки гри Похмура Гавань"
GUI_GUILD_City,"Похмура гавань"
GUI_GUILD_Enchantress,"Чародійниця"
GUI_GUILD_Enhancer,"Чародійниця"
GUI_GUILD_MercenaryLog,"Міські події - лігво найманців"
GUI_GUILD_Merchant,"Торговець"
GUI_GUILD_Temple,"Храм Великого Дуба"
GUI_GUILD_TownRecords,"Міські записи - Наратив"
GUI_GUILD_Trainer,"Тренер"
GUI_GUILD_WorldMap,"Карта світу"
GUI_Gold_mode_selector_DESCR,"Налаштування золота не можуть бути змінені після початку гри. Вибирайте з розумом!"
GUI_HARD,"Важко"
GUI_HOUSE_RULES,"Свої правила"
GUI_HOUSE_RULES_ADVANTAGE,"Переваги та труднощі"
GUI_HOUSE_RULES_ADVANTAGE_ORIGINAL,"Оригінал: добір зі скасуванням атаки за переваги."
GUI_HOUSE_RULES_ADVANTAGE_ORIGINAL_TOOLTIP,"<color=#F1DBAE>оригінал:</color> Під час атаки з Перевагою, якщо витягнуто один Додатковий Модифікатор, обидва Модифікатори Атаки будуть застосовані до атаки. При Ускладненні застосовується лише основний Модифікатор.<br>Якщо обидва модифікатори є Додатковими, продовжуйте тягнути, доки не буде витягнуто основний модифікатор. При Перевазі всі Модифікатори застосовуються до атаки. При Ускладненні до атаки застосовується лише основний Модифікатор."
GUI_HOUSE_RULES_ADVANTAGE_VARIANT,"Варіант: За переваги скасування атаки не може бути витягнуто добором модифікатора. *Рекомендується"
GUI_HOUSE_RULES_ADVANTAGE_VARIANT_TOOLTIP,"<color=#F1DBAE>варіант:</color> Під час атак з ефектами Переваги та Труднощі, якщо перший модифікатор атаки - це модифікатор з добором, то добір триває до того моменту, поки не буде витягнуто модифікатор без добору. Потім витягується 1 додатковий модифікатор ігноруючи значок добору, якщо він буде.<br>У разі Переваги всі модифікатори зі значком добору застосовуються до кращої з фінальної пари. У разі УСКЛАДНЕННЯ - всі модифікатори з добором ігноруються і застосовується найгірший з фінальної пари."
GUI_HOUSE_RULES_ATTACK_MODIFIERS,"Модифікатори атаки"
GUI_HOUSE_RULES_ATTACK_MODIFIERS_ORIGINAL,"Оригінал: x2 і x0 модифікатори атаки. *Рекомендується"
GUI_HOUSE_RULES_ATTACK_MODIFIERS_ORIGINAL_TOOLTIP,"Колоди модифікаторів атаки матимуть модифікатор скасування атаки (х0) і подвоєння атаки (х2)."
GUI_HOUSE_RULES_ATTACK_MODIFIERS_variant,"Варіант: +2 і -2 модифікатори атаки."
GUI_HOUSE_RULES_ATTACK_MODIFIERS_variant_tooltip,"модифікатор x2 буде замінено на модифікатор +2<br>модифікатор x0 буде замінено на модифікатор -2"
GUI_HOUSE_RULES_DESCR,"Ці правила можуть бути змінені в процесі гри. Їх можна знайти в меню Опцій."
GUI_HOUSE_RULES_LINE_OF_SIGHT,"Лінія видимості"
GUI_HOUSE_RULES_LINE_OF_SIGHT_ORIGINAL,"Оригінал: базові правила ліній видимості."
GUI_HOUSE_RULES_LINE_OF_SIGHT_ORIGINAL_tooltip,"Якщо персонаж має лінію видимості - тобто можна прокласти лінію з будь-якого кута шестикутної клітини персонажа, що атакує, в будь-який з кутів клітини ЦІЛІ, не торкаючись стін."
GUI_HOUSE_RULES_LINE_OF_SIGHT_variant,"Варіант: Додавання центру клітини . *Рекомендується"
GUI_HOUSE_RULES_LINE_OF_SIGHT_variant_tooltip,"Лінія видимості може бути прокреслена від центру або від будь-якого з кутів шестикутної клітки атакуючого в будь-який кут клітки ЦІЛІ, не торкаючись стін."
GUI_HOUSE_RULES_SCENARIO_WARNING,"Не можна змінювати правила під час сценарію!!!"
GUI_HOUSE_RULES_SPAWNED_MONSTER_GOLD,"Золото у ворожих закликів"
GUI_HOUSE_RULES_SPAWNED_MONSTER_GOLD_ORIGINAL,"Оригінал: Покликані монстри не залишають золото при смерті *Рекомендується"
GUI_HOUSE_RULES_SPAWNED_MONSTER_GOLD_ORIGINAL_TOOLTIP,"Покликані монстри не залишають золото після смерті"
GUI_HOUSE_RULES_SPAWNED_MONSTER_GOLD_VARIANT,"Варіант: Покликані монстри залишають золото після смерті"
GUI_HOUSE_RULES_SPAWNED_MONSTER_GOLD_VARIANT_TOOLTIP,"Покликані монстри залишають золото після смерті"
GUI_HOUSE_RULES_SUMMON_MOVEMENT,"Рух закликів"
GUI_HOUSE_RULES_SUMMON_MOVEMENT_ORIGINAL,"Оригінал: Немає фокусу, немає руху."
GUI_HOUSE_RULES_SUMMON_MOVEMENT_ORIGINAL_tooltip,"Якщо немає ворогів або немає шляху до клітини до ЦІЛІ, на якій Заклик може атакувати ворога, то Заклик рухатися не буде."
GUI_HOUSE_RULES_SUMMON_MOVEMENT_variant,"Варіант: Немає фокусу, вибір руху. *Рекомендується"
GUI_HOUSE_RULES_SUMMON_MOVEMENT_variant_tooltip,"Якщо немає ворогів або немає шляху до клітини до ЦІЛІ, на якій Заклик може атакувати ворога, то найманець, який покликав дану істоту, має право вирішити, чи буде істота рухатися до цього найманця чи ні."
GUI_HOW_TO_PLAY,"Як грати"
GUI_HeroLevel,"Рівень персонажа."
GUI_IMPROVED_SHORT_REST_ACTIVE_BONUS_TOOLTIP,"Під час вашого наступного ходу перепочинок отримує всі ефекти довгого відпочинку:<br>- <indent=%15>Виберіть одну Скинуту карту, щоб спалити її, і поверніть в руку інші скинуті карти.</indent><br>- <indent=%15>Виконайте ""Лікування 2, на себе"".</indent><br>- <indent=%15>Розгорніть всі використані карти предметів.</indent>"
GUI_IMPROVED_SHORT_REST_TITLE_TOOLTIP,"Жага до руйнування"
GUI_IMPROVED_SHORT_REST_TOOLTIP,"Тільки на цьому ходу перепочинок отримує всі ефекти довгого відпочинку:<br>- <indent=%15>Виберіть одну Скинуту карту, щоб спалити її, і поверніть в руку інші скинуті карти.</indent><br>- <indent=%15>Виконайте Лікування 2, на себе.</indent><br>- <indent=%15>Розгорніть всі використані карти предметів.</indent>"
GUI_INOX_PREVIEW,"Крім того, група бунтівних воїнів Інокса створила базу в лісі і здійснює набіги на місцеве населення. Відправляйтеся в їхнє розташування і знищіть їх!"
GUI_INOX_WIN,"Тепер, коли Інокс мертвий, ця ЗОНА знову в безпеці від їхніх атак. Сподіваюся, ви підібрали одну з їхніх великих сокир, перш ніж піти?"
GUI_INVENTORY,"Інвентар"
GUI_INVENTORY_ITEMS,"Спорядження"
GUI_INVENTORY_SLOT_Body,"На тілі"
GUI_INVENTORY_SLOT_Hands,"У руці"
GUI_INVENTORY_SLOT_Head,"На голові"
GUI_INVENTORY_SLOT_Legs,"На ногах"
GUI_INVENTORY_SLOT_OneHand,"Предмет у руці {0}"
GUI_INVENTORY_SLOT_POCKET,"Кишеня {0}"
GUI_INVENTORY_SLOT_SmallItem,"Малий предмет {0}"
GUI_INVENTORY_SLOT_SmallItems,"Малі предмети"
GUI_INVENTORY_SLOT_TwoHand,"Предмет у руці 2"
GUI_ITEMS_LOSE_DURABILITY,"Ваші предмети втратили 1 міцності"
GUI_ITEMS_TABLE,"Предмети"
GUI_ITEMS_UNAVAILABLE,"Немає доступних предметів"
GUI_ITEM_BOUND_TO,"Прив'язано до <color=#{0}>{1}</color> <size=140%><sprite name=""{2}"" color=#{0}></size>"
GUI_ITEM_BUY_FOR,"Купити предмет для <color=#{0}>{1}</color> <size=140%><sprite name=""{2}"" color=#{0}></size>"
GUI_ITEM_CARDS_BODY,"Карти тіла"
GUI_ITEM_CARDS_HAND,"Карти рук"
GUI_ITEM_CARDS_HEAD,"Карти голови"
GUI_ITEM_CARDS_LEGS,"Карти ніг"
GUI_ITEM_CARDS_NONE,"Ні"
GUI_ITEM_CARDS_SMALLITEM,"Карти малих предметів"
GUI_ITEM_EQUIPPED_DIFFERENT_SLOT,"Надіто в слот <color=#F1DBAEFF> {0}</color>"
GUI_ITEM_GUI_ITEM_SLOT_SMALLITEM_LOCKED_DESCRIPTION,"Потрібен {0} рівень цього персонажа, щоб відкрити цей предмет"
GUI_ITEM_GUI_ITEM_SLOT_SMALLITEM_LOCKED_MYSTERY,"Як можна було відкрити цей слот?"
GUI_ITEM_REPUTATION_DISCOUNT_TOOLTIP,"<color=#{3}><rotate={4}><sprite name=""ReputationLevel_Icon"" color=#{3}></rotate> модифікатор репутації: {2}<sprite name=""Gold_Icon_White"" color=#{3}></color><br>{1}<sprite name=""Gold_Icon_White""> + <color=#{3}><rotate={4}><sprite name=""ReputationLevel_Icon"" color=#{3}></rotate>{2}</color> = <color=#FCC954FF>{0}<sprite name=""Gold_Icon_White"" color=#FCC954FF></color>"
GUI_ITEM_SLOT_BODY,"Тіло"
GUI_ITEM_SLOT_HAND,"Рука"
GUI_ITEM_SLOT_HEAD,"Голова"
GUI_ITEM_SLOT_LEGS,"Ноги"
GUI_ITEM_SLOT_ONEHAND,"Рука"
GUI_ITEM_SLOT_SMALLITEM,"Малий предмет"
GUI_ITEM_SOLDOUT,"Продано!"
GUI_JOURNEY,"Пригода"
GUI_JOURNEY_START_TIP,"Виберіть шлях до поселення. Невдача в подорожі поверне вас назад у вихідне село."
GUI_JOURNEY_START_TIP_TITLE,"Почати подорож"
GUI_JOURNEY_TO,"Подорожувати до {0}"
GUI_LEAVE,"Покинути"
GUI_LEVEL,"Рівень"
GUI_LEVELUP,"РІВЕНЬ {0}!"
GUI_LEVELUP_AVAILABLE_CARDS,"доступно карт здібностей <color=#CEAD5A>{0}</color>!"
GUI_LEVELUP_BUTTON,"Новий рівень!"
GUI_LEVELUP_CHARACTER,"{0} отримує"
GUI_LEVELUP_CHOOSE_CARD,"Додайте 1 нову карту в колоду {0}"
GUI_LEVELUP_NEW_CARDS,"Додаткові карти здібностей"
GUI_LEVELUP_NEW_CARDS_TOOLTIP,"<color=#CEAD5A>додаткові здібності</color> - ті, які не входять до набору освоєних здібностей найманця.<br>1 заблокована карта може бути додана до набору освоєних здібностей після підвищення рівня"
GUI_LEVELUP_RECEIVED_CARDS,"Ви щойно отримали <sprite name=""Card_Icon""><color=#CEAD5A>{0} нові карти здібностей!</color><br>Виберіть <color=#CEAD5A>Одну</color>, щоб назавжди додати в колоду найманця"
GUI_LEVELUP_WEALTH_BUTTON_TOOLTIP,"Підвищіть рівень, щоб відповідати поточному рівню процвітання Похмурої гавані."
GUI_LEVEL_EDITOR,"Редактор рівнів"
GUI_LEVEL_EDITOR_CREATE_NEW,"Створити новий рівень"
GUI_LEVEL_EDITOR_CREATE_NEW_PARTY,"Створити нову групу"
GUI_LEVEL_EDITOR_LOAD_EXISITING_PARTY,"Завантажити існуючу групу"
GUI_LEVEL_EDITOR_LOAD_IN_EDITOR,"Відкрити в редакторі"
GUI_LEVEL_EDITOR_MULTIPLE_LEVELS_SAME_NAME,"Кілька рівнів з однаковою назвою. Копію збережено в каталозі користувацьких рівнів."
GUI_LEVEL_EDITOR_PLAY,"Грати"
GUI_LEVEL_UP_OUTSIDE_GLOOMHAVEN,"Ви зобов'язані повернутися в Похмуру гавань, щоб підвищити рівень"
GUI_LINKED_QUEST_CHOOSE_TOOLTIP,"Продовжити {0} або повернутися в Похмуру Гавань"
GUI_LINKED_QUEST_HEADQUARTERS_CHOICE,"Повернутися в Похмуру Гавань"
GUI_LINKED_QUEST_INVALID_CHOICE,"Вам потрібно повернутися в Похмуру Гавань до прийняття цього завдання"
GUI_LINKED_QUEST_LINKEDQUEST_CHOICE,"Якщо ви зараз виберете завдання, то дорожня подія не відбудеться"
GUI_LOAD,"Завантажити"
GUI_LOADING,"Завантаження"
GUI_LOADING_DOTS,"Завантаження..."
GUI_LOADING_STATE_COMPARE,"Отримуємо інформацію про гравців. Очікуйте..."
GUI_LOADING_WAITING_FOR_PLAYERS,"Очікування інших гравців..."
GUI_LOADOUT_ENEMIES,"Вороги"
GUI_LOADOUT_ENTER_SCENARIO,"Увійти в підземелля"
GUI_LOADOUT_OVERVIEW,"Огляд"
GUI_LOADOUT_SPECIAL_RULES,"Спеціальні правила"
GUI_LOAD_ADVENTURE,"Завантажити Пригода"
GUI_LOAD_ADVENTURE_DESCRIPTION,"Виберіть збереження для продовження..."
GUI_LOAD_ADVENTURE_DIFFICULTY,"Складність:"
GUI_LOAD_ADVENTURE_GOLD,"Золото групи:"
GUI_LOAD_ADVENTURE_ITEMS,"Предмети:"
GUI_LOAD_ADVENTURE_LOCATION,"Місцевість:"
GUI_LOAD_ADVENTURE_QUEST,"Завдання:"
GUI_LOAD_ADVENTURE_START_JOURNEY,"Готові до нової пригоди!"
GUI_LOAD_ADVENTURE_START_QUEST,"Готові до нового завдання!"
GUI_LOAD_CAMPAIGN,"Завантажити кампанію"
GUI_LOAD_GAME_DLC_QUEST,"Місія з DLC"
GUI_LOAD_MODCONFIG,"Завантажити ModConfig"
GUI_LOAD_MODDING,"Завантажити мод"
GUI_LOAD_PARTY_SLOT_OWNER,"Автор:"
GUI_LOAD_SAVE_MISSING_DLC,"<color=#F1DBAE>файл збереження {0}</color><br>Цей файл збереження містить дані з DLC {0}. Перш ніж завантажити його вам потрібно придбати DLC {0}"
GUI_LOAD_SCENARIO,"Завантажити сценарій"
GUI_LOCKED,"Закрито"
GUI_LOCKED_CARD_TOOLTIP,"Карти, які не були додані до освоєних здібностей, залишаються <color=#CEAD5A>заблокованими</color>, якщо для цього не буде витрачено очко розблокування.<br>Виберіть <color=#CEAD5A>Скидання найманця</color>, щоб відновити набір освоєних здібностей."
GUI_LOCKED_OBJECT,"{0} Закрито"
GUI_LOGIN,"Увійти"
GUI_LOGOUT,"Вийти"
GUI_LONG_REST,"Довгий відпочинок"
GUI_LOSE_CARD,"<sprite name=""Lost""> спалити ""{0}"
GUI_LOSE_CARDS,"<sprite name=""Lost""> спалити карти"
GUI_MAIN_MENU,"Головне меню"
GUI_MAIN_MENU_CAMPAIGN_TOOLTIP,"<color=#F1DBAE>кампанія</color><br>Зіграйте в оригінальну кампанію настільної гри, зіткнувшись віч-на-віч із жахом за стінами Похмурої Гавані в кампанії з 95 сценаріїв."
GUI_MAIN_MENU_EXTRAS_TOOLTIP,"<color=#F1DBAE>додатково</color><br>Ознайомтеся з усіма правилами гри Похмура Гавань у розділі ""Як грати"", розкрийте свій креатив у ""Редакторі рівнів"" або змініть гру під себе в розділі ""Моддінг""."
GUI_MAIN_MENU_GUILDMASTER_TOOLTIP,"<color=#F1DBAE>режим Хранителя Гільдії</color><br>Новий цифровий режим, призначений для гравців, щоб освоїти правила Похмурої Гавані та найманців з більш ніж 100 новими місіями."
GUI_MAIN_MENU_MULTIPLAYER_HOW_TO_HOST,"Як вести сесію"
GUI_MAIN_MENU_MULTIPLAYER_HOW_TO_HOST_DESCR,"<size=+4><sprite name=""Pointer""></size><indent=20>перебуваючи <color=#F1DBAE>в існуючому збереженні Gloomhaven</color>, натисніть ""Esc"", щоб відкрити меню паузи, і виберіть ""Мультиплеєр"".</indent><br><br><size=+4><sprite name=""Pointer""></size><indent=20>Це відкриє панель мультиплеєра, де ви можете <color=#F1DBAE>вибрати ""Створити сесію""</color>, щоб розпочати мультиплеєрну сесію.</indent><br><br><size=+4><sprite name=""Pointer""></size><indent=20><color=#F1DBAE>Запросіть друзів</color> через Steam або поділіться з ними згенерованим кодом запрошення (вам потрібно запросити щонайменше одного гравця, щоб успішно створити мультиплеєрну сесію).</indent><br><br><size=+4><sprite name=""Pointer""></size><indent=20>Гравцям автоматично буде призначено <color=#F1DBAE>Роль персонажа</color>, коли вони приєднаються до сесії. Як хосту, ви можете змінити призначення ролей, вибравши Ролі персонажів на панелі мультиплеєра.</indent><br><br><size=+4><sprite name=""Pointer""></size><indent=20>У мультиплеєрі гравці можуть приєднуватися під час перебування на <color=#F1DBAE>Карті світу або на етапі вибору карт</color> у сценарії.</indent>"
GUI_MAIN_MENU_MULTIPLAYER_HOW_TO_HOST_TITLE,"Вести сесію"
GUI_MAIN_MENU_MULTIPLAYER_TOOLTIP,"<color=#F1DBAE>мультиплеєр</color><br>Приєднуйтесь до наявної багатокористувацької гри, використовуючи код запрошення."
GUI_MAIN_MENU_OPTIONS_TOOLTIP,"<color=#F1DBAE>опції</color><br>Виберіть і змініть налаштування гри відповідно до вашого стилю."
GUI_MAIN_MENU_TUTORIAL_TOOLTIP,"<color=#F1DBAE>навчання</color><br>Новачок у Похмурій Гавані? Зіграйте, щоб ознайомитися з основними механіками Похмурої Гавані.<br>Є частиною введення в режимі Хранителя гільдії."
GUI_MANAGE_MODS,"Керувати модами"
GUI_MANAGE_MODS_TITLE,"Керування модами"
GUI_MEDIUM,"Середній"
GUI_MIND_CONTROL,"Контроль розуму"
GUI_MIND_CONTROL_ACTION,"Цей персонаж перебуває під дією контролю розуму на одну дію"
GUI_MIND_CONTROL_TURN,"Цей персонаж перебуває під впливом контролю розуму на один хід у цьому раунді"
GUI_MODDED,"Модифіковано"
GUI_MODDING,"Модифікації"
GUI_MODDING_ADD_MOD_TOOLTIP,"Додати мод"
GUI_MODDING_APPLY_MOD,"Чекайте. ""{0}"" обробляється"
GUI_MODDING_CAMPAIGN_MOD,"Моди кампанії"
GUI_MODDING_CANCEL_CREATE_RULESET_CONFIRMATION_TITLE,"Скасувати створення набору правил"
GUI_MODDING_CANCEL_EDIT_RULESET_CONFIRMATION_TITLE,"Скасувати редагування"
GUI_MODDING_CHANGE_DIRECTORY,"Змінити папку модів"
GUI_MODDING_CHANGE_DIRECTORY_FAILED,"Зміна папки модів не вдалося"
GUI_MODDING_COMPILING,"Компілювання..."
GUI_MODDING_CREATED_MOD_NOTIFICATION,"мод <color=#F1DBAE>{0}</color> створено"
GUI_MODDING_CREATE_MOD,"Створити новий мод"
GUI_MODDING_CREATE_NEW_RULESET,"Створити новий набір правил"
GUI_MODDING_CREATE_RULESET_CONFIRMATION,"Виберіть режим гри для вашого набору правил.<br>Ви не зможете змінити це під час редагування набору правил."
GUI_MODDING_CREATE_RULESET_CONFIRMATION_TITLE,"Режим гри"
GUI_MODDING_CREATE_RULESET_NOTIFICATION,"<color=#F1DBAE>{0}</color> створено!"
GUI_MODDING_CREATE_VIEW_TITLE,"Створити новий мод"
GUI_MODDING_CUSTOMLEVEL_MOD,"Моди своїх рівнів"
GUI_MODDING_CUSTOM_MOD,"Користувацький мод"
GUI_MODDING_DELETE_RULESET,"Видалити набір правил"
GUI_MODDING_DELETE_RULESET_NOTIFICATION,"<color=#C53F3F>{0} було видалено</color>"
GUI_MODDING_EDIT_RULESET,"Редагувати набір правил"
GUI_MODDING_ERROR_CREATING_MOD,"Під час спроби створити новий мод сталася помилка"
GUI_MODDING_ERROR_SAVING_MOD,"Під час спроби зберегти мод сталася помилка."
GUI_MODDING_EXPORT_FAILED_CONFIRMATION,"Переконайтеся, що під час експорту жодні файли або папки в каталозі експорту не відкриті"
GUI_MODDING_EXPORT_FAILED_CONFIRMATION_TITLE,"Збій експорту!"
GUI_MODDING_EXPORT_SUCCESS_NOTIFICATION,"Модифікований контент було успішно експортовано!"
GUI_MODDING_FAILED_TO_CREATE_PREVIEW,"Виникла помилка під час спроби створити зображення попереднього перегляду мода."
GUI_MODDING_FILE_CONFLICT,"Конфлікт файлів"
GUI_MODDING_FILE_CONFLICT_DESC,"Відбувається колізія між модами!"
GUI_MODDING_FINISH_EDIT_RULESET,"Закінчити редагування"
GUI_MODDING_FINISH_EDIT_RULESET_CONFIRMATION,"Редагування цього набору правил призведе до видалення збереження з ним"
GUI_MODDING_GUILDMASTER_MOD,"Моди Хранителя Гільдії"
GUI_MODDING_HASH_COMPARE_FAIL_MESSAGE,"Поточний набір правил було змінено з моменту його останньої компіляції. Вам потрібно буде перекомпілювати цей набір правил, щоб грати з ним."
GUI_MODDING_HASH_COMPARE_FAIL_TITLE,"Збій порівняння хешів"
GUI_MODDING_INVALID_RULESET_CHAR,"Ім'я набору правил не може містити символів, які не підтримуються для імен каталогів у вашій операційній системі"
GUI_MODDING_INVALID_RULESET_NAME,"Неприпустиме ім'я набору правил"
GUI_MODDING_LANGUAGE_MOD,"Мовний мод"
GUI_MODDING_LIST_RULESETS,"Ваші набори правил"
GUI_MODDING_LIST_VIEW_TITLE,"Ваші моди"
GUI_MODDING_LOAD_ERROR,"Поточний ModConfig не було завантажено.<br>Повертаючись до ядра ModConfig.<br>Усі оновлення та виправлення ModConfig можна зробити в меню моддингу."
GUI_MODDING_MENU,"Модифікації"
GUI_MODDING_MOD_ALREADY_EXISTS,"Мод уже існує. Неможливо створити новий мод із таким ім'ям."
GUI_MODDING_MOD_TYPE,"Тип мода"
GUI_MODDING_NEED_WORKSHOP_AGREEMENT,"Ви повинні погодитися з умовами Steam Workshop, щоб завершити завантаження"
GUI_MODDING_NOTIFICATION,"Повідомлення про модифікацію"
GUI_MODDING_OPEN_STEAM_WORKSHOP,"Відвідати Steam Workshop"
GUI_MODDING_PLAY_RULESET_NOTIFICATION,"<color=#F1DBAE>{0}</color> набір правил активний!"
GUI_MODDING_REMOVE_MOD_TOOLTIP,"Видалити мод"
GUI_MODDING_RULESET_CREATED,"Було створено нову папку набору правил з іменем ""{0}"
GUI_MODDING_RULESET_DIR_ERROR,"Сталася помилка під час спроби створити новий каталог набору правил"
GUI_MODDING_RULESET_LOADED_FAIL,"Не вдалося завантажити ""{0}"
GUI_MODDING_RULESET_LOADED_OK,"{0}"" Успішно завантажено"
GUI_MODDING_RULESET_LOSE_CHANGES_CONFIRMATION,"Усі зміни в наборі правил будуть втрачені"
GUI_MODDING_RULESET_PLAY,"Грати"
GUI_MODDING_STEAM_MOD,"Мод Steam"
GUI_MODDING_UNABLE_TO_FIND_MOD,"Не вдалося знайти файли для цього мода."
GUI_MODDING_UPLOADING_WITH_DOTS,"Завантажуємо мод."
GUI_MODDING_UPLOAD_FAILED,"Невдале завантаження"
GUI_MODDING_UPLOAD_MOD_TOOLTIP,"Завантажити мод у Steam"
GUI_MODDING_UPLOAD_SUCCESSFUL,"Завантаження завершено успішно"
GUI_MODDING_VALIDATED_NOTIFICATION,"{0} перевірено успішно!"
GUI_MODDING_VALIDATING,"Перевірка..."
GUI_MODDING_VALIDATION_FAIL_CONFIRMATION_TITLE,"Збій перевірки!"
GUI_MODDING_VALIDATION_MOD_FAIL_CONFIRMATION,"Клацніть ""Показати помилки"", щоб побачити що пішло не так"
GUI_MODDING_VALIDATION_RULESET_FAIL_CONFIRMATION,"Переконайтеся, що ви спочатку перевірили всі моди в наборі правил.<br>Якщо якийсь мод було відредаговано або оновлено, він потребуватиме перевірки."
GUI_MODDING_VALIDATION_VIEW_MOD_ERRORS,"Показати помилки"
GUI_MODDING_WAIT_CREATING_RULESET,"Чекайте. Створюється новий набір правил ""{0}"
GUI_MODDING_WAIT_LOADING_RULESET,"Чекайте. Завантажується ""{0}"
GUI_MODDING_WELCOME_DESC,"Перше, що вам потрібно зробити, — це створити власний набір правил (Custom Ruleset).<br><br>Кожен набір правил може містити кілька модів, за умови, що вони не редагують одні й ті самі файли. Якщо це станеться, будуть показані попереджувальні повідомлення.<br><br>Моди, які ви завантажуєте зі Steam Workshop, не є офіційно підтримуваними, тому якщо виникнуть проблеми, будь ласка, звертайтеся до автора мода. Ми також не можемо гарантувати, що в цих модах не буде спойлерів."
GUI_MODDING_WELCOME_TITLE,"Ласкаво просимо в ""модний"" Похмура Гавань!"
GUI_MOD_CAMPAIGN,"Моди кампанії"
GUI_MOD_CAMPAIGN_TYPE,"Моди кампанії"
GUI_MOD_CREATED,"Мод '{0}' було створено"
GUI_MOD_CREATE_EMPTY_NAME,"Пусте ім'я моди"
GUI_MOD_CREATE_INVALID_CHAR,"Ім'я для мода не може містити жодних символів, які не підтримуються для імен каталогів у вашій операційній системі"
GUI_MOD_CREATE_MOD_EXIST,"Мод з ім'ям ""{0}"" вже існує"
GUI_MOD_CUSTOMLEVELS_TYPE,"Свій мод рівня"
GUI_MOD_DELETED,"Mod ""{0}"" Було видалено"
GUI_MOD_GLOBAL_TYPE,"Загальний мод"
GUI_MOD_GUILDMASTER,"Моди Гільдії"
GUI_MOD_GUILDMASTER_TYPE,"Моди Хранителя Гільдії"
GUI_MOD_HAS_EXECUTABLES,"Мод має виконуваний файл"
GUI_MOD_INVALID_TYPE,"Тип мода невірний"
GUI_MOD_IS_ACTIVE,"Активний"
GUI_MOD_IS_INACTIVE,"Неактивний"
GUI_MOD_LANGUAGE_TYPE,"Моди мови"
GUI_MOD_LOADING_DOTS,"Завантажуються модифікації."
GUI_MOD_NOT_TESTED_VERSION,"Версію не тестували"
GUI_MOD_NOT_TESTED_VERSION_DESC,"Мод не тестувався на вашій збірці. Продовжити?"
GUI_MOD_SOURCE_CUSTOM,"Локальний мод"
GUI_MOD_SOURCE_WORKSHOP,"Мод зі Steam"
GUI_MOD_TOO_BIG,"Мод занадто великий - не повинен перевищувати 20 Мб"
GUI_MOD_TYPE_CHOOSE,"Виберіть тип мода"
GUI_MOD_UPDATE,"Оновити"
GUI_MOD_UPLOADING_BEGIN,"Оновити мод ""{0}"
GUI_MOD_UPLOAD_FAILED,"Оновлення не вдалося"
GUI_MOD_UPLOAD_FINISH,"Оновлення завершено"
GUI_MOD_VERSION,"Версія {0}"
GUI_MONSTER_CARD,"Монстр"
GUI_MOVE,"Подорожувати до {0}"
