Keys,Ukrainian [uk-UA]
Quest_Story_3B_NAME,"Клинок у ночі"
Quest_Story_4A_DESC,"Розбійники перекрили дорогу до Пагорба Шибениці, і саме ви маєте їх прогнати."
Quest_Story_4A_LIST,"Розблокувати торговий шлях до Пагорба Шибениці"
Quest_Story_4A_NAME,"Катові заплатіть карбованою монетою"
Quest_Story_5A_DESC,"Чародійниця потрапила в халепу в лісі — допоможіть їй, і вона обов'язково приєднається до Гільдії!"
Quest_Story_5A_INTRO,"Розпитавши людей на Пагорбі Шибениці, ви вирушаєте лісовою стежкою до давно забутих руїн. Виходячи на галявину, ви чуєте гамір попереду: схоже, розбійники затисли в кут жінку-Орхідку. Це саме та, кого вам доручили знайти?"
Quest_Story_5A_LIST,"Прийняти Чародійницю до Гільдії"
Quest_Story_5A_NAME,"Володіння стихіями"
Quest_Story_5B_DESC,"Допоможіть Винахіднику вибратися з однієї з численних крипт Пекловорота, і він обов'язково приєднається до Гільдії!"
Quest_Story_5B_INTRO,"Тренер повідомляє, що Куатрила востаннє бачили, коли він прямував до підвалу під покинутим маєтком на півдні міста. Ви підходидо до маєтку й виявляєте розчинені вхідні двері та маленькі сліди в густому пилу. Ви йдете за ними до дверей, що ведуть у глибокий темний підвал..."
Quest_Story_5B_LIST,"Прийняти Винахідника до Гільдії"
Quest_Story_5B_NAME,"Розум сильніший за м'язи"
Quest_Story_5C_DESC,"Нежить повстала в цій крипті — час повернути її до вічного сну."
Quest_Story_5C_INTRO,"Хранителька зустрічає вас біля входу до храму, де багато послушників з острахом дивляться на будівлю. Вона пояснює, що в криптах відкрилися портали, і хоча в них є святий символ, здатний закрити їх, ніхто не наважується туди увійти.<br><br>Вона дає вам артефакт і пояснює: «Вам потрібно буде залишатися в крипті деякий час, після чого символ активується та розвіє портали. Хай щастить». Вона підштовхує вас уперед."
Quest_Story_5C_LIST,"Розслідувати навалу нежиті"
Quest_Story_5C_NAME,"Гробниця жахів"
Quest_Story_7A_DESC,"Навіть загартованим найманцям іноді потрібна допомога."
Quest_Story_7A_INTRO,"Ви знову опиняєтеся біля входу до косно покинутої крипти й починаєте питати себе: що змушує всіх цих найманців досліджувати гробниці з нежиттю? Золото, напевно, золото... Ви заходите всередину, сподіваючись знайти ще одного бідолаху, якому потрібні ваші тактичні вміння."
Quest_Story_7A_LIST,"Прийняти Пустотілого до Гільдії"
Quest_Story_7A_NAME,"Кам'яне серце"
Quest_Story_7B_DESC,"Мисливиця на демонів стала б цінним надбанням для Гільдії, якщо погодиться приєднатися."
Quest_Story_7B_INTRO,"Ніхто в Маршах не хоче допомагати вам знайти Думкокрадійку: всі відвертаються, коли ви згадуєте про Вермлінга. Коли ви вже збираєтеся йти, підбігає маленька дівчинка й каже: «Тут була Пані Щурів, вона сказала, що збирається вигнати демонів із покинутого підземелля під вежею на сході, і дала мені це!». Вона показує вам маленьку солом'яну ляльку у формі неприємного гризуна. Ви вирушаєте до вежі й спускаєтеся затхлими сходами до підземелля під нею."
Quest_Story_7B_LIST,"Прийняти Думкокрадійку до Гільдії"
Quest_Story_7B_NAME,"Перевага розуму"
Quest_Story_BanditCommander_DESC,"Усі докази вказують на те, що Ватажок Бандитів перебуває в Храмі Попелу. Час його здолати."
Quest_Story_BanditCommander_INTRO,"Спочатку ви вирушаєте до судноплавної компанії в Дикошпилі, де набридливий клерк спочатку неохоче розповідав про клієнта, який використовував їхні вантажні ящики. Проте після того, як третина їхнього товару раптово перетворилася на пил, він, що не дивно, змінив свою думку. Місце, яке він вам називає, — це печера за містом, глибоко в лісі. Ви негайно вирушаєте туди, сподіваючись схопити Ватажка Бандитів, перш ніж він встигне очистити святилище та втекти. Підійшовши до кам'янистого виступу, ви чуєте голосні та зухвалі суперечки розбійників. Це точно Храм Попелу!"
Quest_Story_BanditCommander_LIST,"Ватажка Бандитів має бути вбито"
Quest_Story_BanditCommander_NAME,"Храм Попелу"
Quest_Story_BeastTyrant_1_DESC,"Володар Звірів знайшов незвичайних союзників за межами Солодководдя..."
Quest_Story_BeastTyrant_1_INTRO,"Істоти, яких раніше вигнали із Солодководдя, поширилися через каналізаційну мережу в навколишні землі. Володар Звірів поспілкувався з деякими дикими істотами в цьому районі й виявив, що багато з їхніх середовищ існування опинилися під загрозою. Він переконаний, що ви можете об'єднатися з природою проти спільного ворога. На чолі з Володарем Звірів ви вирушаєте із Солодководдя на південний схід до кам'янистої місцевості з кількома невеликими печерами. Подекуди видно ознаки Гнилі — мертвих тварин, зів'ялі рослини та смердючу воду. Він веде вас кам'янистою стежкою до входу в печеру, заваленого зміїною шкірою. Перш ніж ви встигаєте попередити його про небезпеку, звідти виповзають гігантські гадюки й прямують до нього, но перед тим як напасти, він піднімає руки й видає кілька високих шиплячих звуків. Змії розвертаються й повертаються в печеру, а Володар Звірів жестом пропонує вам іти за ним..."
Quest_Story_BeastTyrant_1_LIST,"Стримати Гниль поблизу Солодководдя"
Quest_Story_BeastTyrant_1_NAME,"Зміїні очі"
Quest_Story_BeastTyrant_1_REWARD,"Розблокувати сюжетні завдання Володаря Звірів"
Quest_Story_BeastTyrant_2_DESC,"Ще більше диких тварин звернулися по допомогу до Володаря Звірів."
Quest_Story_BeastTyrant_2_INTRO,"Володар Звірів веде вас до монастиря, і ви знову не знаєте, чого очікувати. Дружніх Дрейків, ведмедів чи бісів? Відповідь ви отримуєте за кілька миль на південь від монастиря, коли з хащів вибігає зграя гончих. Володар Звірів, схоже, спілкується з ними, а потім пояснює, що Гниль уразила сусідній цвинтар і по лісу поширюються потвори. Гончі ведуть вас зарослою стежкою, аж поки ви не виходите на край галявини з неприємним видовищем — тут блукають нежить і Слизи. Вас усе ще не помітили, тож у вас є шанс напасти зненацька!"
Quest_Story_BeastTyrant_2_LIST,"Стримати Гниль поблизу монастиря"
Quest_Story_BeastTyrant_2_NAME,"Собача кісточка"
Quest_Story_BeastTyrant_3_DESC,"Схоже, в Каменепаді є джерело Гнилі, вам потрібно провести розслідування."
Quest_Story_BeastTyrant_3_INTRO,"Вирушаючи з Каменепаду, Володар Звірів виглядає більш пожвавленим, ніж зазвичай. Чародійка передала вам слова тутешніх тварин про те, що велика кількість щупальцевих монстрів убиває все живе навколо. Вона вважає, що це місце розмноження цих істот, і якщо знищити дорослих особин, вона зможе з'ясувати, як вони розмножуються, та, можливо, здобути молодого екземпляра. Ви прямуєте в гори й підходите до входу в розгалужену мережу печер. Володар Звірів пояснює, що кілька печерних ведмедів чекають у сусідній залі й загін має розділитися, щоб об'єднати з ними сили. Поки ви ділитеся, ви чекаєте на сигнал для атаки, но вас виявляють раніше. Схоже, вам доведеться протриматися, поки ведмеді прийдуть на допомогу!"
Quest_Story_BeastTyrant_3_LIST,"Знайти другорядне джерело Гнилі"
Quest_Story_BeastTyrant_3_NAME,"Каменепад"
Quest_Story_Berserker_1_DESC,"Де зараз Наглядач?"
Quest_Story_Berserker_1_INTRO,"Важка атмосфера панує серед вас із того часу, як Гільдія отримала звістку про повернення Наглядача до Похмурої Гавані. Тренер наполягав на його небезпечності та необхідності ліквідувати його. Ходять чутки, що Наглядач зараз перебуває в таборі розбійників за межами Млинного Ставка, тож тепер ви прямуєте туди на чолі з Берсерком. Подорож триває недовго, і незабаром перед вами постають дерев'яні паркани та хутряні намети, яким віддають перевагу розбійники. Проте ви швидко помічаєте, що цю тимчасову базу населяють не розбійники, а стражники. Охоронець ніяково підходить до вас біля воріт і вигукує: «Ей, забирайтеся звідси. Цей табір розслідує міська варта». Берсерк підходить до нього, дивиться в очі й встромлює в нього лезо. Інші охоронці оголюють мечі та виступають уперед..."
Quest_Story_Berserker_1_LIST,"Берсерк має знайти старого знайомого..."
Quest_Story_Berserker_1_NAME,"Офіційні справи"
Quest_Story_Berserker_1_REWARD,"Розблокувати сюжетні завдання Берсерка"
Quest_Story_Berserker_2_DESC,"Наглядач вирушив до табору Залізного Лісу. Зробіть так, щоб це було його останнє місце призначення."
Quest_Story_Berserker_2_INTRO,"Табір Залізного Лісу знайти було неважко. Наглядач залишив свій слід у вигляді стовпа диму, що піднімався в небо над селом. Ви прибуваєте, очікуючи на різанину, і саме її й знаходите. Будівлі зруйновані, а навколо лежать тіла — ймовірно, тих, хто відмовився приєднатися до його армії. Оголивши зброю, ви просуваєтеся вглиб села, де відчуваєте запах горілого дерева... і мокрого собаки. Вирішивши сховатися в руїнах, аби знайти джерело смороду, ви помічаєте Вермлінгів, які нишпорять серед уламків. Вони збирають металевий брухт і несуть його вглиб табору, замість того щоб жерти тіла, як це зазвичай роблять Вермлінги. Ви починаєте йти за одним із ними, щоб дізнатися, куди він несе метал, но під вашою ногою тріщить уламок будівлі. Вермлінг повертається, і раптом ви опиняєтеся в оточенні..."
Quest_Story_Berserker_2_LIST,"Зупинити Наглядача на його шляху"
Quest_Story_Berserker_2_NAME,"Розваги в місті"
Quest_Story_Berserker_3_DESC,"У цій печері щось відбувається. Покладіть цьому край."
Quest_Story_Berserker_3_INTRO,"Після двох хибних слідів ви впевнені, що все закінчиться саме тут. Тут ви притягнете Наглядача до відповідальності. Жителі Ферми Драконячого Вогню охоче вказали вам на вхід до печери, но висловили недобру впевненість, що ви звідти не повернетеся. Ті, хто жив на фермі, воліли триматися осторонь від того, що там відбувалося. Селяни розповіли, що з печери постійно виїжджають вози, і ви бачите, що трава навколо прим'ята колесами та чоботями. Коли ви наближаєтеся до входу, звідти, наче оси з гнізда, вилітає рій Вермлінгів. Знову відчувається сморід мокрого собаки. Ви легко розправляєтеся з ними й заходите всередину. Печера занурена в повну темряву, і в міру просування ви бачите лише очі Вермлінгів, які світяться в пітьмі, наче котячі. Так триває, поки ви не помічаєте факели розбійників удалині..."
Quest_Story_Berserker_3_LIST,"Знищити діяльність Наглядача"
Quest_Story_Berserker_3_NAME,"У темряву"
Quest_Story_Brute_1_DESC,"На дороги навколо Самирта все ще часто нападають Вермлінги з лісу, но це означає, що служба в охороні добре оплачується."
Quest_Story_Brute_1_INTRO,"Дехто вважає вашу дружбу з Вермлінгом дивною, но ви знаєте Скабвіта з дитинства. Він може й не найчесніший купець у королівстві, но завжди добре платив за спеції вашого племені та охоронні послуги. Сьогодні ви зустрічаєтеся з ним для чергової поїздки до Безплідного узбережжя: хоча кількість нападів диких Вермлінгів зменшилася після того, як ви знову відкрили дороги, йому все одно небезпечно подорожувати самому. Більша частина шляху проходить спокійно, і ви розмовляєте про минулі часи, аж раптом чуєте завивання з лісу. Гончі... но хто чи що виганяє їх на дорогу?"
Quest_Story_Brute_1_LIST,"Звичайна робота з охорони каравану біля Самирта зі старим другом."
Quest_Story_Brute_1_NAME,"Старі друзі"
Quest_Story_Brute_1_REWARD,"Розблокувати сюжетні завдання Дикуна"
Quest_Story_Brute_2_DESC,"Скабвіт збирав інформацію про Зрадника-Інокса, зустріньтеся з ним у його таборі поблизу Мідного оазису."
Quest_Story_Brute_2_INTRO,"Ви дістаєтеся села Вермлінгів і бачите Скабвіта біля вогнища. Он кличе вас рукою й повідомляє, що кілька його розвідників вистежили нападників-Іноксів, які мають такі самі знаки, як і той, що напав на вас, і що вони збираються на півночі біля Орлиного Гребеня. Перш ніж він встигає розповісти більше, починають сурмити роги — село атаковано. Схоже, його розслідування привело Іноксів прямо до табору!"
Quest_Story_Brute_2_LIST,"Скабвіт має інформацію про зрадника-Інокса"
Quest_Story_Brute_2_NAME,"Село Вермлінгів"
Quest_Story_Brute_3_DESC,"Час з'ясувати, який грандіозний план у Зрадника. Поки він збирає свої війська, перевірте зачіпку щодо сусідньої крипти."
Quest_Story_Brute_3_INTRO,"Ззовні руїни виглядають як звичайна купа каміння, но ви помічаєте дивні символи, вирізьблені на кам'яних плитах. Деякі стерті часом, но інші виглядають майже новими. Нагорі тихо, но коли ви спускаєтеся, помічаєте, що в крипті нещодавно встановили нові настінні свічники. Ви починаєте думати, чи має ця гробниця взагалі якесь відношення до Іноксів, но як тільки ви підходите до входу в першу залу, ваші сумніви зникають. Кілька Іноксів командують Демонами ночі. Це і був їхній план від самого початку!"
Quest_Story_Brute_3_LIST,"Здійснити набіг на руїни Іноксів, щоб дізнатися, що затівається"
Quest_Story_Brute_3_NAME,"У темряву"
Quest_Story_CaptainOfTheGuard_DESC,"З'ясуйте, чи дійсно Капітан Варти віддавав накази про всі ці вбивства..."
Quest_Story_CaptainOfTheGuard_INTRO,"Старий фінансовий округ Пекловорота стояв покинутим десятиліттями після вторгнення демонів на початку історії міста, що змусило торговців переїхати до Нового фінансового округу. Єдиною діючою частиною округу залишився Кривий базар, де зосереджена більшість не зовсім легальних справ міста. Сьогодні округ тихо руйнується, відрізаний від міської влади, і єдиний звук, який ви чуєте на шляху до складу, — це тихий гуркіт уламків, що падають. Прибувши, ви виявляєте, що стара будівля кишить солдатами міської варти та завалена спорядженням. Усі охоронці стежать за вашим наближенням. Невдовзі з'являється капітан: «Дякую, що прийшли сюди», — каже він. — «Ви значно полегшили мені завдання з повернення Пекловорота людству, дозволивши мені... ""розслідувати"" ваше вбивство». Перш ніж ви встигаєте дістатися до нього, капітан знову зникає в глибині складу. Солдати міської варти починають оточувати вас..."
Quest_Story_CaptainOfTheGuard_LIST,"Протистояти Капітану Варти"
Quest_Story_CaptainOfTheGuard_NAME,"Зненацька"
Quest_Story_Cragheart_1_DESC,"Один із давніх храмів Саввасів, багатовікове Святилище Зефірів, використовувався для навчання молодих Саввасів шляху Вітру. Пустотілий має вирушити туди, щоб зв'язатися зі своїми предками."
Quest_Story_Cragheart_1_INTRO,"Після вигнання із суспільства Саввасів Пустотілий більшу частину часу проводив у самотності, роздумуючи над своїми невдачами. Тепер, ставши частиною спільноти найманців, він вирішив дослідити історію Саввасів у тутешньому Святилищі Зефірів — священному місці, присвяченому вітрам, які більше не дмуть. Предки використовували це місце для навчання володінню стихією Повітря, но воно занепало та було занедбане. Діставшись храму, ви виявляєте, що в святилищі більше не панує тиша — тут лунає гамір мародерів, які оскверняють статуї та фрески."
Quest_Story_Cragheart_1_LIST,"Відвідати святилище, щоб відновити стародавні знання"
Quest_Story_Cragheart_1_NAME,"Святилище Зефірів"
Quest_Story_Cragheart_1_REWARD,"Розблокувати сюжетні завдання Пустотілого"
Quest_Story_Cragheart_2_DESC,"Схоже, ще більше розбійників обрали своєю ціллю Святилище Коріння для чергового пограбування. Вам потрібно це перевірити."
Quest_Story_Cragheart_2_INTRO,"Пройшовши крізь ліс, ви бачите вхід до Святилища Коріння під великим деревом. Брудні сліди ніг вкривають землю навколо, і ваші найгірші побоювання справджуються: розбійники вже тут! У першій залі ви бачите настінні фрески, що зображують повагу до рослин, які більше не ростуть, но вони вже пошкоджені кирками. Ви очікуєте знайти групу мародерів за роботою, но натомість чуєте звуки битви з глибини храму. Коли ви спускаєтеся нижче, кам'яні стіни поступаються місцем скелі, і ви заходите до зали, де група грабіжників б'ється з різними істотами. Жодна зі сторін не рада вас бачити, но святилище має бути очищене!"
Quest_Story_Cragheart_2_LIST,"Очистити святилище від загарбників"
Quest_Story_Cragheart_2_NAME,"Святилище Коріння"
Quest_Story_Cragheart_3_DESC,"Святилище Вергласа — це третє святилище, яке потребує захисту. Вирушайте на його оборону."
Quest_Story_Cragheart_3_INTRO,"Після важкого переходу в пагорби від Витоку Річки перед вами постає Святилище Вергласа, що здається недоторканим у своїй кришталевій красі. Могила для вод, які більше не течуть. Савваси, які прагнули опанувати стихію Льоду, колись тренувалися тут, занурені в холод і суворість, но тепер воно пустує. Ви заходите до святилища. Тут тихо, навіть занадто тихо..."
Quest_Story_Cragheart_3_LIST,"Очистити Святилище Вергласа"
Quest_Story_Cragheart_3_NAME,"Святилище Вергласа"
Quest_Story_DarkRider_DESC,"Хтось — або щось — зухвало вдерся та погрожує вашій домівці. Знищте його."
Quest_Story_DarkRider_INTRO,"Ви поспішаєте до Пекловорота якомога швидше. Вторгнення в саму Гільдію Найманців — це щось нечуване. Глибоко схована за стінами Пекловорота, ця поважна будівля була сильно укріплена міською вартою після багатьох успіхів її членів, не кажучи вже про захист самих найманців. Хоч би що вдерлося до Гільдії в пошуках вас, це точно не буде простим ворогом. Коли ви прибуваєте, коридори будівлі зустрічають вас холодом, пусткою та темрявою. Якимось чином вологе лісове повітря доноситься до вас із давніх глибин споруди. Тут ховається щось могутнє. Ви відчуваєте це. Просуваючись уперед, ви чуєте жахливий гуркіт, що лунає кам'яними коридорами. Ви продовжуєте йти в непроглядну темряву, оголивши зброю, аж поки гуркіт не виявляється важким тупотом копит і раптово вщухає. «Ваша Гільдія занадто довго заважала моїй роботі в цьому світі, смертні», — лунає голос із темної безодні. — «Я більше не граю в ігри. Ваш опір буде зламано». Тупіт копит знову перетворюється на зловісний гуркіт, но коли ви кидаєтеся вперед назустріч загрозі, навколо вас починають кружляти маленькі крила. Здається, навіть вітер проти вас. Ваші очі, нарешті звикнувши до темряви, починають помічати сяйво зловісної магії..."
Quest_Story_DarkRider_LIST,"Що всередині Гільдії?"
Quest_Story_DarkRider_NAME,"Це всього лише гра"
Quest_Story_Doomstalker_1_REWARD,"Розблокувати сюжетні завдання Прирікача"
Quest_Story_Elementalist_1_REWARD,"Розблокувати сюжетні завдання Елементаліста"
Quest_Story_HighCultist_DESC,"Винахідник і Чародійниця мають об'єднати зусилля, щоб перемогти Верховного Культиста та його посіпак."
Quest_Story_HighCultist_INTRO,"Ви вирушаєте на заболочені землі на північ від Кривавого Броду й йдете кілька днів. Така важка місцевість — саме та причина, чому культ обрав це місце для свого штабу.<br><br>Наступного дня ви помічаєте, що земля під ногами твердішає, і натрапляєте на споруду, приховану між покрученими деревами. Вона збудована з тесаного чорного каменю й виглядає чужою серед природи. Охорони немає, навколо панує тиша. Ви збираєтеся з духом і заходите всередину."
Quest_Story_HighCultist_LIST,"Верховного Культиста має бути вбито"
Quest_Story_HighCultist_NAME,"Святилище"
Quest_Story_InoxBodyguard_DESC,"Щойно армія Інокса розбіжиться й відкриється прохід до його покоїв, ви зможете напасти на його сховище."
Quest_Story_InoxBodyguard_INTRO,"Після нищівної поразки його воїни не повернулися, но ви відчуваєте, що це лише питання часу, коли він знову збере сили й стане загрозою для тутешніх земель. Ви дієте за інструкціями з книги, знайденої в крипті, й малюєте дивний символ на стіні. Після короткої паузи цегла розсувається вбік, відкриваючи прохід углиб гори. Ви спускаєтеся вниз, ваше серце б'ється від тривоги та полегшення водночас. Це кінець шляху. Остання битва..."
Quest_Story_InoxBodyguard_LIST,"Ватажка Іноксів має бути вбито"
Quest_Story_InoxBodyguard_NAME,"Вирішальна сутичка"
Quest_Story_Jekserah_DESC,"Ті, хто причетний до викрадення зброї та створення розлому, схоже, виявили себе. Знищте їх."
Quest_Story_Jekserah_INTRO,"Неспокійне відчуття жаху охоплює вас, чим глибше ви спускаєтеся до смердючої каналізації. Відлуння далекого гуркоту та хлюпання проноситься темними кам'яними тунелями разом із вашими мокрими кроками, і ви не можете позбутися думки, що це була помилка. Сфери явно були пасткою, хіба ні? Чому б ще вони так чітко вели сюди? Менше з тим. Цього злодія та чаклуна потрібно притягнути до відповідальності за створення небезпеки для Пекловорота та всього цього виміру. Поки ви йдете за картою сфери, у вашій голові знову й знову крутиться загадка. Хто може бути цією новою королевою? Нудотно-солодкий запах некромантії змішується зі смородом каналізації... та гнильним запахом демонів, що перекривають шлях попереду. Вам доведеться пробитися крізь них, аби розібратися в усьому..."
Quest_Story_Jekserah_LIST,"Притягнути злодія та чаклуна до відповідальності"
Quest_Story_Jekserah_NAME,"Мертвий для світу"
Quest_Story_MercilessOverseer_DESC,"Ви вистежували його досить довго. Зупиніть Наглядача та його армію Вермлінгів!"
Quest_Story_MercilessOverseer_INTRO,"Дотримуючись вказівок на карті, яку викрав Берсерк, ви знаходите двері, виявлені Купцем, приховані в невеликій долині неподалік від входу до печери. Ключ, який повернула Сонцеберегиня, ідеально підходить до замка й безшумно повертається. З замка лунає тихе клацання, і двері відчиняються з голосним металевим стуком. Ви обережно заходите всередину, де з обох боків бачите ряди кліток, кожна з яких занадто мала для Вермлінгів, що сиділи всередині. Істоти надто слабкі, аби реагувати на вашу присутність, тому ви використовуєте клітки як укриття, щоб прокрастися глибше. «Ого, поглянь на цих щурів!» — два розбійники підходять до кліток, коли ви перебуваєте з іншого боку. Інший відповідає: «Скоро в нас буде ціла армія, і Рада буде нами задоволена». Вони починають іти геть, коли перший знову говорить: «Так! У боса їх більше, ніж коли-небудь було цих дурних Іноксів». Перш ніж ви встигаєте її зупинити, Берсерк вискакує з-за кліток і гучно вбиває обох розбійників. Ви біжите до неї й бачите, що багато Вермлінгів Наглядача прийшли перевірити шум — і всі вони, схоже, одягнені в грубі металеві обладунки..."
Quest_Story_MercilessOverseer_LIST,"Нарешті вбити Наглядача"
Quest_Story_MercilessOverseer_NAME,"Щурячий Король"
Quest_Story_Mindthief_1_DESC,"Люди копають прохід до вашого гнізда, поверніться додому та захистіть свою родину."
Quest_Story_Mindthief_1_INTRO,"Приємний запах моху та плісняви наповнює ваші ніздрі, коли ви повертаєтеся тунелями, де гніздиться ваша зграя, вітаючи знайому вовну та хвости. Ви вивели свою зграю з проблемної міської каналізації давно й ніколи не озиралися назад, насолоджуючись тихим спокоєм дикої природи. Їжі обмаль, но життя чудове... вірніше, було таким, поки ви не почули тупіт надто багатьох чобіт, що сунули до печери. Гніздо атаковано!"
Quest_Story_Mindthief_1_LIST,"Гніздо Думкокрадійки атаковано"
Quest_Story_Mindthief_1_NAME,"Захистити гніздо"
Quest_Story_Mindthief_1_REWARD,"Розблокувати сюжетні завдання Думкокрадійки"
Quest_Story_Mindthief_2_DESC,"Зграя довго не протягне без їжі. Викрадіть припаси з табору розбійників і дізнайтеся більше про дурнів, які напали на вас."
Quest_Story_Mindthief_2_INTRO,"Ви відвідуєте зграю під Нижнім містом. Часи настали важкі. Припасів їжі мало, бойовий дух низький, а малеча жахається щоразу, коли чує тупіт людей над головою. Новини також невтішні: виходячи далі від гнізда, члени клану бачили розбійників із такими ж емблемами, як і у тих, що напали на гніздо. Очевидно, вони нишпорять старими печерами й підземними лігвами в пошуках скарбів. Ви вирішуєте вбити двох зайців одним пострілом — завдати удару у відповідь по розбійниках і добути трохи їжі для свого клану, вчинивши напад на їхній табір. Ви пробираєтеся крізь чагарники до найближчого табору розбійників, де вони складають ящики та припаси, відібрані в інших племен Іноксів та Вермлінгів. Час настав."
Quest_Story_Mindthief_2_LIST,"Викрасти припаси, щоб нагодувати зграю"
Quest_Story_Mindthief_2_NAME,"Голодні роти"
Quest_Story_Mindthief_3_DESC,"Поверніть своє гніздо, винищивши його нинішніх незаконних мешканців. Вони зібрали маленьку армію... вам доведеться грати брудно."
Quest_Story_Mindthief_3_INTRO,"Розбійники перетворили ваше гніздо на головний центр своїх операцій, накопичуючи здобич та зброю в кожному кутку. Пряма атака була б катастрофою. Протягом кількох днів ви здійснюєте вилазки до них, отруюючи воду, замінюючи хорошу їжу на зіпсовану та підсипаючи дивні трави в питну воду їхніх тварин. Ваше терпіння окупається: весь загін швидко підкошує хвороба, і вони ледь справляються навіть із найпростішими справами. Ви нападете в сутінках."
Quest_Story_Mindthief_3_LIST,"Відбити своє гніздо у розбійників!"
Quest_Story_Mindthief_3_NAME,"Повернення додому"
Quest_Story_Nightshroud_1_DESC,"Нічнотінь хоче дослідити осад, що залишається після знищення Живих Духів."
Quest_Story_Nightshroud_1_INTRO,"Після того як ви вперше очистили Багаття під час минулого візиту, розміщені тут охоронці трималися головної споруди, побоюючись звуків, що доносилися з прибудов і пильних гробниць. Нічнотінь веде загін від Багаття до розташованої неподалік крипти, куди рідко хто заглядає, безстрашно крокуючи крізь невелику пилову бурю. Він відсуває уламки біля входу й пролазить крізь щілину в темряву підземелля. Ви йдете слідом, не зовсім розуміючи, чого очікувати. Після багатьох покручених переходів коридор виводить вас до великої поховальної зали. Спочатку вона здається порожньою, но раптом із саркофагів починають підніматися дивні примарні постаті, а двері позаду вас із гуркотом зачиняються!"
Quest_Story_Nightshroud_1_LIST,"Допомогти Нічнотіні дослідити Живих Духів"
Quest_Story_Nightshroud_1_NAME,"Віднесені привидами"
Quest_Story_Nightshroud_1_REWARD,"Розблокувати сюжетні завдання Нічнотіні"
Quest_Story_Nightshroud_2_DESC,"Нічнотінь хоче дізнатися, що керує Женцями-заразниками."
Quest_Story_Nightshroud_2_INTRO,"У містечке Пагорб Гончих досі ходять чутки про Женців, союзних Раді, і час від часу там зникають видатні жителі. Всі будинки вже обшукали, но ніхто не знає, де можуть ховатися Женці. Коли ви прибуваєте, Нічнотінь очолює розслідування, розпитуючи родичів про останні відомі місця перебування зниклих, і через кілька годин наносить їх на карту міста. Усі викрадення сталися вздовж звивистої стежки, що пролягає над головним міським колектором, і саме туди Нічнотінь пропонує спуститися. Замість того щоб починати з кінця, ви спускаєтеся крізь люк посередині шляху, оскільки малоймовірно, що вороги очікуватимуть атаки по центру. Коли ви виходите з бічного проходу до головного тунелю, ваші припущення справджуються — розбійники тут геть не готові до бою, коли Нічнотінь кидається вперед."
Quest_Story_Nightshroud_2_LIST,"Допомогти Нічнотіні дослідити Женців"
Quest_Story_Nightshroud_2_NAME,"Зламаний плуг"
Quest_Story_Nightshroud_3_DESC,"Група Скритнів перебуває в крижаних печерах поблизу Кришталевої Лощини, і Нічнотінь хоче їх здолати."
Quest_Story_Nightshroud_3_INTRO,"Виходячи з Кришталевої Лощини, Нічнотінь пояснює суть своїх досліджень. Він підрахував, що Гниль є сумішшю кількох різних істот — вона містить компоненти, схожі на ті, що є у Духів, Женців та Скритнів. Він вважає, що лише об'єднавши їх, зможе з'ясувати її походження. На його думку, джерелом Гнилі є якась давня істота, що довго спала й передала свої риси цим істотам. Усе це звучить дуже цікаво, но абсолютно незрозуміло для вас. Все, що вам треба знати, — це те, що йому потрібно вбити кількох Скритнів... Ви підходите до замерзлого входу в печеру, і він жестом пропонує всім зайти всередину."
